dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
pad data sheet,non_spatial,no place,—,unknown,4,4,True,"named source, family not stated","{""unclear"": 1, ""non_spatial"": 3}",PAD DATA SHEET,
pbf data portal,unclear,place not stated,—,yes — coordinates or a layer exists,4,1,True,registry / administrative database,"{""admin_linked"": 1, ""point_geocoded"": 1, ""unclear"": 2}",PBF data portal,
perception surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,4,False,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""unclear"": 4}",perception surveys,
periodic labor force survey,unclear,place not stated,—,maybe — needs the survey's own geography,4,3,True,"household or phone survey, official statistics series","{""non_spatial"": 1, ""unclear"": 3}",Periodic Labor Force Survey,
periodic staff surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,4,False,household or phone survey,"{""unclear"": 4}",periodic staff surveys,
pmu records,non_spatial,no place,—,maybe — needs the survey's own geography,4,2,True,registry / administrative database,"{""non_spatial"": 3, ""unclear"": 1}",PMU Records,
project progress report,unclear,place not stated,—,unknown,4,3,True,registry / administrative database,"{""non_spatial"": 2, ""unclear"": 2}",Project progress report,
project progress reports,non_spatial,no place,—,maybe — needs the survey's own geography,4,2,True,registry / administrative database,"{""non_spatial"": 3, ""unclear"": 1}",Project progress reports,
remote sensing,point_geocoded,exact point,point,yes — coordinates or a layer exists,4,3,True,"satellite / raster / index, household or phone survey, facility / asset / infrastructure records, mapped layer / geospatial product","{""national_spatial_derived"": 2, ""point_geocoded"": 2}",remote sensing data,
rempe,unclear,place not stated,—,no — aggregate,4,1,False,"household or phone survey, official statistics series","{""unclear"": 4}",REMPE,
satisfaction surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,3,False,household or phone survey,"{""unclear"": 4}",Satisfaction surveys,
social statistics,unclear,place not stated,—,maybe — needs the survey's own geography,4,2,True,"household or phone survey, official statistics series, registry / administrative database","{""non_spatial"": 1, ""unclear"": 3}",social statistics,
sp metro and o/d surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,1,False,household or phone survey,"{""unclear"": 4}",SP Metro and O/D Surveys,
statistical yearbook,unclear,place not stated,—,maybe — needs the survey's own geography,4,3,True,"household or phone survey, official statistics series, registry / administrative database","{""non_spatial"": 1, ""admin_linked"": 1, ""unclear"": 2}",statistical yearbook,
sudan household budget and poverty survey,admin_linked,named area,country only,no — aggregate,4,1,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 3}",Sudan Household Budget and Poverty Survey,
survey results,unclear,place not stated,—,maybe — needs the survey's own geography,4,3,True,household or phone survey,"{""admin_linked"": 1, ""unclear"": 2, ""non_spatial"": 1}",annual survey results,
systematic country diagnostic,non_spatial,no place,—,maybe — needs the survey's own geography,4,4,False,"named source, family not stated","{""non_spatial"": 4}",Systematic Country Diagnostic,
training program attendance intake,unclear,place not stated,—,unknown,4,1,False,"named source, family not stated","{""unclear"": 4}",Training program attendance intake,
uganda enterprise survey,non_spatial,no place,—,maybe — needs the survey's own geography,4,2,False,household or phone survey,"{""non_spatial"": 4}",Uganda Enterprise Survey,
uganda national health accounts,non_spatial,no place,—,maybe — needs the survey's own geography,4,1,False,household or phone survey,"{""non_spatial"": 4}",Uganda 2011/12 National Health Accounts,
uganda-refugee-and-host-communities- household-survey,non_spatial,no place,—,maybe — needs the survey's own geography,4,4,False,household or phone survey,"{""non_spatial"": 4}",the-Uganda-Refugee-and-Host-Communities-2018-Household-Survey,
undb online,non_spatial,no place,—,unknown,4,3,True,"named source, family not stated","{""unclear"": 1, ""non_spatial"": 3}",UNDB online,
undp human development index,non_spatial,no place,—,no — aggregate,4,4,False,"named source, family not stated","{""non_spatial"": 4}",UNDP Human Development Index,
welfare,unclear,place not stated,—,maybe — needs the survey's own geography,4,1,False,"household or phone survey, registry / administrative database","{""unclear"": 4}",Welfare Database,
world bank enterprise surveys,non_spatial,no place,—,maybe — needs the survey's own geography,4,4,True,household or phone survey,"{""non_spatial"": 3, ""unclear"": 1}",World Bank Enterprise Surveys,
world bank estimates,non_spatial,no place,—,maybe — needs the survey's own geography,4,3,True,"named source, family not stated","{""non_spatial"": 3, ""admin_linked"": 1}",World Bank Estimates,
world bank world development indicators,non_spatial,no place,—,no — aggregate,4,4,False,"household or phone survey, registry / administrative database","{""non_spatial"": 4}",World Bank World Development Indicators database,
address registry,point_geocoded,exact point,point,yes — coordinates or a layer exists,3,2,False,"household or phone survey, official statistics series, registry / administrative database","{""point_geocoded"": 3}",Address Registry,
air quality,admin_linked,named area,country only,no — aggregate,3,1,False,"named source, family not stated","{""admin_linked"": 3}",air quality data,
amen social registry,admin_linked,named area,country only,maybe — needs the survey's own geography,3,2,True,"household or phone survey, registry / administrative database","{""admin_linked"": 2, ""unclear"": 1}",AMEN Social registry,
bangladesh demographic and health survey,non_spatial,no place,—,maybe — needs the survey's own geography,3,2,False,household or phone survey,"{""non_spatial"": 3}",2022 Bangladesh Demographic and Health Survey,
bhi,unclear,place not stated,—,unknown,3,1,False,"named source, family not stated","{""unclear"": 3}",BHI data,
biometric,unclear,place not stated,—,no — aggregate,3,2,False,registry / administrative database,"{""unclear"": 3}",biometric data,
business register,unclear,place not stated,—,maybe — needs the survey's own geography,3,3,True,"household or phone survey, official statistics series","{""unclear"": 2, ""admin_linked"": 1}",business register,
cadastro ambiental rural,point_geocoded,exact point,point,yes — coordinates or a layer exists,3,2,False,registry / administrative database,"{""point_geocoded"": 3}",Cadastro Ambiental Rural,
child nutrition and social protection project,non_spatial,no place,—,maybe — needs the survey's own geography,3,2,False,facility / asset / infrastructure records,"{""non_spatial"": 3}",Child Nutrition and Social Protection Project,
citizen engagement survey,unclear,place not stated,—,maybe — needs the survey's own geography,3,3,False,household or phone survey,"{""unclear"": 3}",citizen engagement survey,
citizen feedback surveys,unclear,place not stated,—,maybe — needs the survey's own geography,3,1,False,"household or phone survey, registry / administrative database","{""unclear"": 3}",citizen feedback surveys,
contractor employment records,unclear,place not stated,—,maybe — needs the survey's own geography,3,1,False,"named source, family not stated","{""unclear"": 3}",Contractor employment records,
coremis,unclear,place not stated,—,maybe — needs the survey's own geography,3,1,True,"household or phone survey, monitoring / tracking system","{""admin_linked"": 1, ""unclear"": 2}",COREMIS,
cost,unclear,place not stated,—,yes — coordinates or a layer exists,3,3,True,satellite / raster / index,"{""unclear"": 2, ""non_spatial"": 1}",cost data,
county government water department m&e records,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,3,1,False,"named source, family not stated","{""admin_linked"": 3}",County Government Water Department M&E records,
data from june,non_spatial,no place,—,maybe — needs the survey's own geography,3,3,False,"household or phone survey, official statistics series","{""non_spatial"": 3}",Data from the June 2020,
data on social development issues,unclear,place not stated,—,unknown,3,3,False,"named source, family not stated","{""unclear"": 3}",data on social development issues,
databases,non_spatial,no place,—,yes — coordinates or a layer exists,3,3,True,"registry / administrative database, monitoring / tracking system","{""non_spatial"": 2, ""point_geocoded"": 1}",databases,
databases available in country and externally,non_spatial,no place,—,maybe — needs the survey's own geography,3,3,True,registry / administrative database,"{""unclear"": 1, ""non_spatial"": 2}",databases available in country and externally,
datasus,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,3,3,False,"named source, family not stated","{""admin_linked"": 3}",DATASUS,
demographic health survey,non_spatial,no place,—,maybe — needs the survey's own geography,3,3,True,"household or phone survey, official statistics series","{""non_spatial"": 2, ""unclear"": 1}",Demographic Health Survey,
